date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:02:04	59/59	---MCZ	200	added ('OK')	text/plain	etag:W/%22686e530c-24%22	https://biolyze.space/robots.txt		(from )
01:02:04	6380/6380	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Sep%202025%2005:02:04%20GMT	https://biolyze.space/classroom/lesson-24/	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/index.html	(from )
01:02:04	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Sep%202025%2005:02:04%20GMT	https://biolyze.space/logo.png	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/logo.png	(from https://biolyze.space/classroom/lesson-24/)
01:02:04	196/196	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2026%20Sep%202025%2005:02:05%20GMT	https://biolyze.space/js/main.js	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/js/main.js	(from https://biolyze.space/classroom/lesson-24/)
01:02:04	502/502	---MCZ	200	added ('OK')	application/json	date:Fri,%2026%20Sep%202025%2005:02:05%20GMT	https://biolyze.space/classroom/lesson-24/appmanifest.json	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/appmanifest.json	(from https://biolyze.space/classroom/lesson-24/)
01:02:05	3361/3361	---MCZ	200	added ('OK')	image/png	date:Tue,%2023%20Sep%202025%2015:26:05%20GMT	https://biolyze.space/classroom/lesson-24/icon-256.png	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/icon-256.png	(from https://biolyze.space/classroom/lesson-24/)
01:02:05	76532/76532	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Sep%202025%2015:26:00%20GMT	https://biolyze.space/classroom/lesson-24/animate.css	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/animate.css	(from https://biolyze.space/classroom/lesson-24/)
01:02:05	824/824	---MCZ	200	added ('OK')	text/css	date:Thu,%2018%20Sep%202025%2017:43:35%20GMT	https://biolyze.space/classroom/lesson-24/hmmg_layoutTransition.css	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/hmmg_layoutTransition.css	(from https://biolyze.space/classroom/lesson-24/)
01:02:05	4873/4873	---MCZ	200	added ('OK')	text/css	date:Tue,%2023%20Sep%202025%2015:26:00%20GMT	https://biolyze.space/classroom/lesson-24/jquery.gritter.css	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/jquery.gritter.css	(from https://biolyze.space/classroom/lesson-24/)
01:02:05	88145/88145	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Sep%202025%2015:26:00%20GMT	https://biolyze.space/classroom/lesson-24/jquery-3.4.1.min.js	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/jquery-3.4.1.min.js	(from https://biolyze.space/classroom/lesson-24/)
01:02:06	65035/65035	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Sep%202025%2015:26:00%20GMT	https://biolyze.space/classroom/lesson-24/GameAnalytics.js	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/GameAnalytics.js	(from https://biolyze.space/classroom/lesson-24/)
01:02:06	12561/12561	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Sep%202025%2017:43:35%20GMT	https://biolyze.space/classroom/lesson-24/Tween.js	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/Tween.js	(from https://biolyze.space/classroom/lesson-24/)
01:02:06	61011/61011	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Sep%202025%2017:43:35%20GMT	https://biolyze.space/classroom/lesson-24/html2canvas.min.js	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/html2canvas.min.js	(from https://biolyze.space/classroom/lesson-24/)
01:02:06	12853/12853	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2018%20Sep%202025%2017:43:35%20GMT	https://biolyze.space/classroom/lesson-24/jquery.gritter.js	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/jquery.gritter.js	(from https://biolyze.space/classroom/lesson-24/)
01:02:06	66025/66025	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Sep%202025%2015:26:00%20GMT	https://biolyze.space/classroom/lesson-24/howler.js	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/howler.js	(from https://biolyze.space/classroom/lesson-24/)
01:02:07	13446/13446	---MCZ	200	added ('OK')	application/javascript	date:Tue,%2023%20Sep%202025%2015:26:04%20GMT	https://biolyze.space/classroom/lesson-24/sw.js	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/sw.js	(from https://biolyze.space/classroom/lesson-24/)
01:02:07	1485288/1485288	---MCZ	200	added ('OK')	application/javascript	date:Thu,%2025%20Sep%202025%2013:20:09%20GMT	https://biolyze.space/classroom/lesson-24/c2runtime.js	C:/My%20Web%20Sites/stuipid%20OVO/biolyze.space/classroom/lesson-24/c2runtime.js	(from https://biolyze.space/classroom/lesson-24/)
